# Словарь ChatTranslator. Данные: OpenRussian.org (https://en.openrussian.org),
# https://github.com/Badestrand/russian-dictionary — лицензия CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Изменения: отобраны частые
# слова (по wordfreq), оставлен один перевод, убраны ударения и неоднозначные
# формы, для игровых слов выбрано игровое значение. Этот файл распространяется
# на тех же условиях CC BY-SA 4.0. Собран скриптом tools/build_dictionary.py.
abacus	счёты
eccentrics	оригиналы
ecclesiastical	духовный
echelon	эшелон
echelons	эшелоны
echo	эхо
echoes	эха
eclipse	затмение
eclipses	затмения
ecological	экологический
ecologies	экологии
ecologists	эколог
ecologistses	экологи
ecology	экология
economic	экономический
economical	хозяйственный
economics	экономика
economicses	экономики
economies	экономики
economist	экономист
economists	экономисты
economy	экономика
eddies	водовороты
eddy	водоворот
eden	рай
edens	раи
edge	гран
edges	граны
edict	указ
edicts	указы
edifice	здание
edifices	здания
edition	издание
editions	издания
editor	редактор
editorial	редакционный
editors	редакторы
education	образование
educational	учебный
educations	образования
eerie	жуткий
eerily	жутко
effect	эффект
effective	эффективный
effectiveness	эффективность
effectivenesses	эффективности
effects	эффекты
efficacies	эффективности
efficacious	эффективный
efficacy	эффективность
efficiencies	эффективности
efficiency	эффективность
efficient	оперативный
efficiently	продуктивно
effort	усилие
efforts	усилия
effortses	хлопоты
egg	яйцо
egg-white	белок
eggs	яйца
egress	выезд
egresses	выезды
egypt	египет
egyptian	египетский
egyptians	египтяне
eight	восемь
eighteen	восемнадцать
eighth	восьмой
eighths	восьмые
eighty	восемьдесят
elaboration	разработка
elaborations	разработки
elastic	резинка
elasticities	упругости
elasticity	упругость
elastics	резинки
elbow	локоть
elbow-room	простор
elbows	локти
elder	старший
elderly	пожилой
elders	старейшины
eldest	старший
election	выборы
elections	выборы
electionses	выборы
elective	выборный
elector	избиратель
electoral	избирательный
electorate	избиратель
electorates	избиратели
electors	избиратели
electric	электрический
electrician	электрик
electricians	электрики
electricity	электричество
electrode	электрод
electrodes	электроды
electromagnetic	электромагнитный
electron	электрон
electronic	электронный
electronically	электронно
electronics	электроника
electronicses	электроники
electrons	электроны
elegant	элегантный
element	элемент
elemental	стихийный
elementary	начальный
elements	элементы
elementses	азы
elephant	слон
elephants	слоны
elevation	высота
elevations	высоты
elevator	лифт
elevators	лифты
eleven	одиннадцать
eleventh	одиннадцатый
elf	эльф
elimination	исключение
eliminations	исключения
elite	элита
elites	элиты
elixir	эликсир
elixirs	эликсиры
elk	лось
elks	лоси
ell	локоть
ells	локти
elves	эльфы
elysium	рай
elysiums	раи
emancipation	освобождение
emancipations	освобождения
embankment	набережная
embankments	набережные
embargo	эмбарго
embargoes	запрещения
embarrassment	затруднение
embarrassments	затруднения
embassies	посольства
embassy	посольство
embers	жар
embezzlement	хищение
embezzlements	хищения
emblem	эмблема
emblems	эмблемы
embodiment	воплощение
embodiments	воплощения
embroideries	вышивки
embroidery	вышивка
embryo	эмбрион
embryos	эмбрионы
emerald	изумруд
emeralds	изумруды
emergence	выход
emergences	выходы
emergency	экстренный
emigrant	эмигрант
emigrants	эмигранты
emigrantses	эмиграции
emigration	эмиграция
emigrations	эмиграции
eminence	высота
eminences	высоты
eminent	видный
emir	эмир
emirs	эмиры
emission	выпуск
emissions	выпуски
emotion	эмоция
emotional	эмоциональный
emotions	эмоции
emperor	император
emperors	императоры
emphases	ударения
emphasis	ударение
empire	империя
empires	империи
employee	сотрудник
employees	сотрудники
employer	работодатель
employers	работодатели
employment	занятость
employments	занятости
empress	императрица
empresses	императрицы
emptiness	пустота
emptinesses	пустоты
empty	пустой
emulation	соревнование
emulations	соревнования
enactment	постановление
enactments	постановления
enamel	эмаль
enamels	эмали
enchantment	волшебство
enchantress	волшебница
enchantresses	волшебницы
encore	бис
encouragement	поддержка
encouragements	поддержки
encroachment	посягательство
encroachments	посягательства
encyclopaedia	энциклопедия
encyclopaedias	энциклопедии
end	конец
endearment	ласка
endearments	ласки
endless	бесконечный
endlessly	бесконечно
ends	концы
endurance	выносливость
endurances	выносливости
enemies	враги
enemy	враг
energetic	энергичный
energies	энергии
energy	энергия
engagement	помолвка
engagements	помолвки
engine	двигатель
engine-driver	машинист
engineer	инженер
engineering	техника
engineerings	техники
engineers	инженеры
engines	двигатели
england	Англия
english	английский
englishes	англичане
englishman	англичанин
englishmans	англичане
engraving	гравюра
engravings	гравюры
enigma	загадка
enigmas	загадки
enigmatic	таинственный
enjoyment	наслаждение
enjoyments	наслаждения
enlargement	увеличение
enlargements	увеличения
enlightenment	просвещение
enlightenments	просвещения
enmities	неприязни
enmity	вражда
enormous	огромный
enough	достаточно
enrichment	обогащение
enrichments	обогащения
ensemble	ансамбль
ensembles	ансамбли
ensign	флаг
ensigns	флаги
enterprise	предприятие
enterprises	предприятия
entertainment	развлечение
entertainments	развлечения
enthusiasm	энтузиазм
enthusiasms	энтузиазмы
enthusiast	энтузиаст
enthusiastic	восторженный
enthusiastically	восторженно
enthusiasts	энтузиасты
entire	целый
entirely	вполне
entrails	внутренности
entrailses	внутренности
entrance	вход
entrance-room	передняя
entrances	входы
entrepreneur	предприниматель
entrepreneurs	предприниматели
entries	вступления
entropies	энтропии
entropy	энтропия
entry	вступление
entryway	прихожая
entryways	прихожие
enumeration	перечень
enumerations	перечни
envelope	конверт
envelopes	конверты
environment	окружение
environments	окружения
environs	окрестность
environses	окрестности
envoy	посланник
envoys	посланники
enzyme	фермент
enzymes	ферменты
ephemeral	минутный
epic	эпопея
epics	эпопеи
epidemic	эпидемия
epidemics	эпидемии
epidemiologies	эпидемиологии
epidemiology	эпидемиология
epilepsies	эпилепсии
epilepsy	эпилепсия
epiphanies	крещения
epiphany	крещение
episode	эпизод
episodes	эпизоды
epistle	послание
epistles	послания
epithet	эпитет
epithets	эпитеты
epoch	эпоха
epoch-making	исторический
epochs	эпохи
equal	равный
equalities	равенства
equality	равенство
equalization	уравнение
equalizations	уравнения
equally	ровно
equation	уравнение
equations	уравнения
equator	экватор
equatorial	экваториальный
equators	экваторы
equilibria	равновесия
equilibrium	равновесие
equine	лошадиный
equipment	оборудование
equities	справедливости
equity	справедливость
equivalent	эквивалент
equivalents	эквиваленты
era	эра
eras	эры
eraser	резинка
erasers	резинки
erection	постановка
erections	постановки
erosion	эрозия
erosions	эрозии
erotic	эротический
errand	поручение
errands	поручения
erroneous	ошибочный
erroneously	неправильно
error	заблуждение
errors	заблуждения
erudite	знающий
eruption	извержение
eruptions	извержения
escapade	выходка
escapades	выходки
especial	специальный
especially	особенно
espionage	шпионаж
espionages	шпионажи
essay	исследование
essays	исследования
essence	суть
essences	сути
essential	существенный
establishment	установление
establishments	установления
estate	поместье
estates	поместья
estonia	Эстония
estonian	эстонский
estrangement	отчуждение
estrangements	отчуждения
estuaries	лиманы
estuary	лиман
eternal	вечный
eternities	вечности
eternity	вечность
ether	эфир
ethereal	эфирный
ethers	эфиры
ethic	этический
ethical	моральный
ethics	этика
ethicses	этики
ethnic	этнический
ethnographic	этнографический
ethnography	этнография
etiquette	этикет
etiquettes	этикеты
etude	этюд
etudes	этюды
eucharist	причастие
eucharists	причастия
euro	евро
europe	Европа
european	европейский
europeans	европейцы
euros	евро
evacuation	эвакуация
evacuations	эвакуации
evaporation	испарение
evaporations	испарения
evasion	обход
evasions	обходы
eve	канун
evening	вечер
evenings	вечера
evenly	равномерно
event	событие
events	события
eventual	конечный
everlasting	вечный
everybody	все
everyday	текущий
everyone	все
everything	всё
everywhere	везде
eves	кануны
eviction	выселение
evictions	выселения
evidence	свидетельство
evidences	свидетельства
evident	явный
evidently	видно
evil	зло
evils	зла
evolution	развитие
evolutionary	эволюционный
evolutions	развития
ewe	овца
ewes	овцы
ex	бывший
exact	точно
exactly	именно
exaggeration	преувеличение
exaggerations	преувеличения
exam	экзамен
examination	рассмотрение
examinations	рассмотрения
example	пример
examples	примеры
exams	экзамены
excavations	раскопки
excavationses	раскопки
excavator	экскаватор
excavators	экскаваторы
excellencies	превосходительства
excellency	превосходительство
excellent	отличный
excellently	отлично
excellents	пятёрки
except	кроме
exception	исключение
exceptional	исключительный
exceptionally	исключительно
exceptions	исключения
excerpt	выписка
excerpts	выписки
excess	превышение
excesses	превышения
excessive	чрезмерный
excessively	излишне
exchange	обмен
exchanges	обмены
exchequer	казна
exchequers	казны
excitable	азартный
excitation	возбуждение
excitations	возбуждения
excitement	восторг
excitements	восторги
exclamation	возглас
exclamations	возгласы
exclusion	исключение
exclusions	исключения
exclusively	исключительно
excrement	кал
excrements	калы
excretion	выделение
excretions	выделения
excruciating	тяжкий
excursion	экскурсия
excursions	экскурсии
execution	казнь
executioner	палач
executioners	палачи
executions	казни
executive	исполнительный
executor	исполнитель
executors	исполнители
exemplary	образцовый
exercise	упражнение
exercise-book	тетрадь
exercises	упражнения
exhaustion	истощение
exhaustions	истощения
exhibit	экспонат
exhibition	выставка
exhibitions	выставки
exhibits	экспонаты
exhortation	наставление
exhortations	наставления
existence	жизнь
existences	жизни
exit	выход
exits	выходы
exorcism	заговор
exorcisms	заговоры
exotic	экзотический
expansion	увеличение
expansions	увеличения
expectation	ожидание
expectations	ожидания
expediency	целесообразность
expedient	целесообразный
expedition	экспедиция
expeditions	экспедиции
expenditure	затрата
expenditures	затраты
expense	расход
expenses	расходы
expenseses	расходы
expensive	дорогой
experience	опыт
experiment	эксперимент
experimental	опытный
experiments	эксперименты
expert	эксперт
experts	эксперты
expiration	истечение
expirations	истечения
expiries	истечения
expiry	истечение
explanation	объяснение
explanations	объяснения
exploit	подвиг
exploitation	эксплуатация
exploitations	эксплуатации
exploits	подвиги
exploration	исследование
explorations	исследования
explorer	исследователь
explorers	исследователи
explosion	взрыв
explosions	взрывы
explosive	взрывчатка
exponent	показатель
exponents	показатели
export	экспорт
exporter	экспортёр
exporters	экспортёры
exports	экспорты
exposition	экспозиция
expositions	экспозиции
exposure	выявление
exposures	выявления
express-telegram	молния
expression	выражение
expressions	выражения
expulsion	исключение
expulsions	исключения
exquisite	восхитительный
extension	увеличение
extensions	увеличения
extensive	обширный
extent	степень
extents	степени
exterior	внешность
exteriors	внешности
extermination	уничтожение
exterminations	уничтожения
external	наружный
extinction	вымирание
extinctions	вымирания
extortion	вымогательство
extortions	вымогательства
extra	фигурант
extraction	извлечение
extractions	извлечения
extradition	выдача
extraditions	выдачи
extraordinarily	чрезвычайно
extraordinary	чрезвычайный
extreme	крайний
extremely	весьма
extremes	крайности
extremism	экстремизм
extremisms	экстремизмы
extremist	экстремист
extremists	экстремисты
extremities	оконечности
extremity	оконечность
eye	глаз
eye-bolt	обух
eye-socket	орбита
eye-witness	свидетель
eyebrow	бровь
eyebrows	брови
eyelash	ресница
eyelashes	ресницы
eyelid	веко
eyelids	веки
eyes	глаза
eyesight	зрение
eyesights	зрения
eyewitness	очевидец
eyewitnesses	очевидцы
fable	басня
fables	басни
fabric	материал
fabrication	фантазия
fabrications	фантазии
fabrics	материалы
fabulous	невероятный
fabulously	сказочно
facade	фасад
facades	фасады
face	лицо
face-card	фигура
faces	лица
facet	грань
facets	грани
facial	лицевой
facile	гладкий
facilitation	облегчение
facilitations	облегчения
facilities	устройство
facilitieses	устройства
fact	факт
faction	фракция
factions	фракции
factor	фактор
factories	заводы
factors	коэффициенты
factory	завод
facts	факты
factses	данные
factual	фактический
faculties	факультеты
faculty	факультет
fad	конёк
fads	коньки
faeces	кал
faeceses	калы
fag-end	бычок
failure	неудача
failures	неудачи
faint	слабый
faintly	слабо
faints	обмороки
fair	справедливо
fairies	феи
fairly	довольно
fairness	справедливость
fairnesses	справедливости
fairs	ярмарки
fairy	фея
fairy-tale	сказочный
faith	вера
faithful	верный
faithfulness	верность
faithfulnesses	верности
faithless	неверный
faiths	веры
fake	подделка
fakes	подделки
falcon	сокол
falcons	сокола
fallow	паровой
fallow-deer	лань
fallows	пары
false	ложный
falsehood	ложь
falsehoods	лжи
falsification	фальсификация
falsifications	фальсификации
fame	слава
fames	славы
familiar	знакомый
familiarities	знакомства
familiarity	знакомство
families	семьи
family	семья
famine	голод
famous	знаменитый
famously	славно
fan	фанат
fanatic	фанат
fanatics	фанаты
fancies	фантазии
fancy	фантазия
fancy-bag	сумочка
fang	клык
fangs	клыки
fans	фанаты
fantasia	фантазия
fantasias	фантазии
fantasies	фантазии
fantastic	сказочный
fantasy	фантазия
far	далеко
far-eastern	дальневосточный
farce	фарс
farces	фарсы
farewell	прощание
farewells	прощания
farm	хозяйство
farm-hand	работник
farmer	фермер
farmers	фермеры
farms	хозяйства
faro	банк
faros	банки
farther	дальше
farthing	грош
farthings	гроши
fascination	прелесть
fascinations	прелести
fascism	фашизм
fascisms	фашизмы
fascist	фашистский
fascists	фашисты
fashion	мода
fashionable	модный
fashions	моды
fast	быстро
fastener	замок
fasteners	замки
fastening	закрепление
fastenings	закрепления
fasts	посты
fat	жир
fatal	роковой
fate	судьба
fateful	роковой
fates	судьбы
father	отец
father's	отцовский
father-in-law	тесть
father-superior	игумен
fatherland	родина
fatherlands	родины
fathers	отцы
fatigue	усталость
fatigues	усталости
fats	жиры
fatty	жировой
fault	вина
faults	вины
fauna	фауна
faunas	фауны
favor	услуга
favorite	любимый
favors	услуги
favourable	благоприятный
favourably	благосклонно
favourite	фаворит
favourites	фавориты
fax	факс
faxes	факсы
fear	страх
fearful	страшный
fearless	бесстрашный
fearlessly	смело
fears	страхи
feasible	возможный
feast	пир
feasts	пиры
feat	подвиг
feather	перо
feathers	перья
feats	подвиги
feature	особенность
feature-story	очерк
features	особенности
februaries	феврали
february	февраль
federal	федеральный
federation	федерация
federations	федерации
fee	гонорар
feeble	слабый
feeding	кормление
feeding-bottle	рожок
feedings	кормления
feeling	чувство
feelings	чувства
fees	гонорары
feet	стопы
felicities	блаженства
felicity	блаженство
feline	кошачий
fellow	член
fellow-citizen	согражданин
fellow-clerk	сослуживец
fellow-countryman	соотечественник
fellow-employee	сослуживец
fellow-teacher	сослуживец
fellow-traveler	спутник
fellow-villager	земляк
fellows	члены
felon	преступник
felonies	преступления
felons	преступники
felony	преступление
female	женский
females	самки
feminine	женский
feminism	феминизм
feminisms	феминизмы
fence	забор
fences	заборы
fender	решётка
fenders	решётки
fennel	укроп
ferment	фермент
fermentation	брожение
fermentations	брожения
ferments	ферменты
ferocious	грозный
ferries	паромы
ferro-concrete	железобетон
ferrous	железный
ferry	паром
fertilities	плодородия
fertility	плодородие
fertilizer	удобрение
fertilizers	удобрения
fervent	страстный
fervour	воодушевление
fervours	воодушевления
festival	фестиваль
festivals	фестивали
festive	праздничный
festivities	торжество
festivitieses	торжества
fete	фестиваль
fetes	фестивали
fever	лихорадка
fevers	лихорадки
fiance	жених
fiancee	невеста
fiancees	невесты
fiances	женихи
fiasco	фиаско
fib	враньё
fibre	волокно
fibres	волокна
fibs	фантазии
fiction	фантастика
fictions	фантастики
fiddle	скрипка
fiddler	скрипач
fiddlers	скрипачи
fiddles	скрипки
fidelities	верности
fidelity	верность
field	поле
field-marshal	фельдмаршал
fields	поля
fierce	сильный
fiery	огневой
fifteen	пятнадцать
fifth	пятый
fifties	полусотни
fifty	пятьдесят
fighter	боец
fighters	бойцы
fighting-man	боец
figurative	образный
figuratively	образно
figure	фигура
figures	фигуры
figurine	фигурка
figurines	фигурки
filament	нить
filaments	нити
filet	филе
filial	дочерний
fillet	лента
fillets	ленты
filling	начинка
fillings	начинки
film	фильм
film-holder	кассета
films	фильмы
filter	фильтр
filters	фильтры
filth	грязь
filths	грязи
filthy	грязный
filtration	фильтрация
filtrations	фильтрации
fin	киль
final	конечный
finale	финал
finales	финалы
finally	наконец
finals	финалы
finances	финансы
financial	финансовый
financier	финансист
financiers	финансисты
financing	финансирование
financings	финансирования
finding	изыскание
findings	изыскания
findingses	заключения
fine	хорошо
finely	талантливо
finer	краше
fines	штрафы
finger	палец
finger-nail	ноготь
fingerprint	отпечаток
fingerprints	отпечатки
fingers	пальцы
finland	Финляндия
finn	финн
finnish	финский
finns	финны
fins	кили
fir	ель
fire	огонь
fire-ball	болид
fire-bird	жар-птица
fire-place	камин
fire-prevention	противопожарный
firearm	оружие
firearms	оружия
firefighter	пожарный
firefighters	пожарные
fireman	пожарный
firemen	пожарные
fireplace	камин
fireplaces	камины
fires	огни
firewood	дрова
firewoods	дрова
firework	фейерверк
fireworks	салют
fireworkses	салюты
firing	обстрел
firings	обстрелы
firm	фирма
firmly	твёрдо
firmness	стойкость
firmnesses	прочности
firms	фирмы
firs	ели
first	первый
first-born	первенец
first-class	мировой
first-hand	непосредственный
first-rate	мировой
firsthand	воочию
firstly	сначала
firth	губа
firths	губы
fish	Рыбы
fish-hook	крючок
fisheries	тони
fisherman	рыбак
fishermen	рыбаки
fishery	тоня
fishy	подозрительный
fissure	трещина
fissures	трещины
fist	кулак
fists	кулаки
fitness	фитнес
fitnesses	годности
fittingly	достойно
fittings	прибор
fittingses	приборы
five	пять
five-year	пятилетний
five-year-old	пятилетний
fives	пяти
fixation	фиксация
fixations	фиксации
fixed-date	срочный
fixtures	арматура
fixtureses	арматуры
fizz	шампанское
flag	флаг
flag-officer	флагман
flags	флаги
flagship	флагман
flagships	флагманы
flair	чутьё
flairs	*чутья
flame	пламя
flame-coloured	огненный
flames	пламена
flank	фланг
flanks	фланги
flare	ракета
flares	ракеты
flash	вспышка
flashes	вспышки
flashlight	фонарик
flashlights	фонарики
flat	квартира
flatly	наотрез
flats	квартиры
flatteries	лести
flattery	лесть
flaw	порок
flawless	безупречно
flaws	пороки
flax	холст
flaxes	холсты
flea	блоха
fleas	блохи
fleece	руно
fleeces	руна
fleet	флот
fleets	флоты
flesh	плоть
fleshes	плоти
flex	шнур
flexibilities	гибкости
flexibility	гибкость
flexible	гибкий
flick	щелчок
flicks	щелчки
flier	лётчик
fliers	лётчики
flight	полёт
flights	полёты
flint	кремень
flints	кремни
flock	станица
flocks	станицы
flood-gate	затвор
flood-lands	пойма
floor	пол
floor-cloth	тряпка
floor-mat	мат
floors	полы
flop	провал
flops	провалы
flora	флора
floras	флоры
florence	Флоренция
flotilla	дивизион
flotillas	дивизионы
flour	мука
flower	цветок
flowers	цветы
fluctuation	колебание
fluctuations	колебания
fluent	гладкий
fluff	пушок
fluffs	пушки
fluffy	пышный
fluid	жидкость
fluids	жидкости
fluorescence	свечение
fluorescences	свечения
fluorescent	светящийся
flurries	переполохи
flurry	переполох
flush	краска
flushes	краски
flute	флейта
flutes	флейты
flyer	лётчик
flyers	лётчики
flyover	развязка
flyovers	развязки
foam	пена
foams	пены
focus	фокус
focuses	фокусы
fodder	корм
fodders	кормы
foe	враг
foes	враги
foetus	плод
foetuses	плоды
fog	туман
foggy	туманно
fogs	туманы
foil	наводка
foils	наводки
folder	проспект
folders	проспекты
foliage	листва
folk	народный
folklore	фольклор
folklores	фольклоры
follies	безумия
follower	последователь
followers	последователи
following	следующее
folly	безумие
fond	нежный
food	еда
foods	пищи
foodstuffs	продовольствие
foodstuffses	продовольствия
fool	дурак
foolhardy	отчаянный
foolish	глупо
foolishly	глупо
foolishness	глупость
foolishnesses	глупости
foolproof	безопасный
fools	дураки
foot	стопа
foot-bridge	мостик
foot-gear	обувь
foot-passenger	пешеход
football	футбол
football-jersey	футболка
football-player	футболист
footballer	футболист
footballers	футболисты
footballs	футболы
footman	лакей
footmen	лакеи
footnote	примечание
footnotes	примечания
footprint	след
footprints	следы
footsteps	шаг
footstepses	шаги
footwear	обувь
forage	корм
forages	кормы
foray	набег
forays	набеги
forcible	насильственный
forcibly	понятно
ford	брод
fords	броды
fore	носовой
fore-and-aft	продольный
foreboding	предчувствие
forebodings	предчувствия
forecast	прогноз
forecasts	прогнозы
forefathers	дед
forefatherses	деды
forehead	лоб
foreheads	лбы
foreign	иностранный
foreign-policy	внешнеполитический
foreigner	иностранец
foreigners	иностранцы
foreman	мастер
foremen	мастера
foremost	передовой
forensic	судебный
forerunner	предтеча
forerunners	предтечи
forest	лесной
forest-guard	лесник
forester	лесник
foresters	лесники
forestries	лесничества
forestry	лесничество
forests	леса
forever	вечно
foreword	предисловие
forewords	предисловия
forge	кузница
forgeries	фальсификации
forgery	фальсификация
forges	кузницы
forgiveness	прощение
forgivenesses	прощения
fork	вилка
forks	вилки
form	форма
form-mate	одноклассник
formal	формальный
formalities	формальности
formality	формальность
formally	формально
format	формат
formation	становление
formations	становления
formats	форматы
former	бывший
formerly	когда-то
formidable	грозный
forms	формы
formula	формула
formulas	формулы
formulation	формулировка
formulations	формулировки
fort	форт
forthcoming	скорый
fortification	укрепление
fortifications	укрепления
fortitude	мужество
fortitudes	мужества
fortress	крепость
fortresses	крепости
forts	форты
fortunate	счастливый
fortune	судьба
fortune-telling	гадание
fortunes	судьбы
forty	сорок
forum	форум
forums	форумы
forward	вперёд
forwards	нападающие
foul	запрещённый
fouls	фолы
foundation	основание
foundations	основания
founder	основатель
founders	основатели
fountain	фонтан
fountains	фонтаны
four	четыре
four-in-hand	четвёрка
fours	четвёрки
fourteen	четырнадцать
fourth	четверть
fourths	четверти
fox	лисица
foxes	лисицы
foyer	фойе
fraction	частица
fractions	частицы
fragile	хрупкий
fragment	фрагмент
fragments	фрагменты
fragrance	аромат
fragrances	ароматы
frail	хрупкий
frame	рамка
frames	рамки
framework	каркас
frameworks	каркасы
franc	франк
france	Франция
frank	прямой
frankfurter	сосиска
frankfurters	сосиски
frankly	откровенно
frankness	откровенность
franknesses	откровенности
fraternal	братский
fraternities	братства
fraternity	братство
frau	госпожа
fraud	обман
frauds	обманы
fraus	госпожи
freak	урод
freaks	уроды
free-style	вольный
free-will	добровольный
freedom	свобода
freedoms	свободы
freely	свободно
freight	груз
freights	грузы
french	французский
frenches	французы
frenchman	француз
frenchmans	французы
frequencies	частоты
frequency	частота
frequent	частый
frequently	часто
fresco	фреска
frescoes	фрески
fresh	свежий
freshness	свежесть
freshnesses	свежести
fret	лад
frets	*лады
friction	трение
frictions	трения
friday	пятница
fridays	пятницы
fridge	холодильник
fridges	холодильники
friend	друг
friendly	дружеский
friends	друзья
friendship	дружба
friendships	дружбы
frigate	фрегат
frigates	фрегаты
fright	страх
frightful	страшный
frights	страхи
frog	лягушка
frogs	лягушки
front	фронт
frontier	пограничный
fronts	фронты
frost	мороз
frosts	морозы
froth	пена
froths	пены
frugal	скромный
fruit	плод
fruit-cake	кекс
fruitful	плодотворный
fruits	плоды
frustration	разочарование
frustrations	разочарования
frying-pan	сковорода
fuck	блядь
fucks	бляди
fuel	топливо
fuels	топлива
fugitive	беглец
fugitives	беглецы
fulfilment	исполнение
fulfilments	исполнения
full	полный
full-back	защитник
full-scale	развёрнутый
fully	полно
fumes	чад
fun	забавно
function	функция
functional	функциональный
functions	функции
fund	фонд
fundamental	фундаментальный
fundamentals	основа
fundamentalses	основы
funds	фонды
funeral	похороны
funerals	похороны
fungi	грибы
fungus	гриб
funnel	труба
funnels	трубы
funny	весело
funs	забавы
fur	мех
fur-seal	котик
furies	ярости
furious	бешеный
furiously	яростно
furlough	отпуск
furloughs	отпуска
furnace	печь
furnaces	печи
furniture	обстановка
furrow	борозда
furrows	борозды
furs	меха
further	далее
fury	ярость
fuse	пробка
fuses	пробки
fuss	суета
fusses	суеты
futilities	пустоты
futility	пустота
future	будущее
fuzz	пух
fuzzes	*пухи
gadget	приспособление
gadgets	приспособления
gaffe	неловкость
gaffes	неловкости
gaieties	веселья
gaiety	веселье
gait	походка
gaits	походки
gala	гала
galaxies	галактики
galaxy	галактика
gale	буря
gales	бури
gallant	храбрый
galleries	галереи
gallery	галерея
galley	кухня
galleys	кухни
gambler	игрок
gamblers	игроки
gambling-house	казино
game	игра
games	игры
gamma	гамма
gamma-radiation	гамма-излучение
gamma-rays	гамма-лучи
gammas	гаммы
gamut	гамма
gamuts	гаммы
gang	шайка
gangs	шайки
gangster	гангстер
gangsters	гангстеры
gangway	проход
gangways	проходы
gantries	порталы
gantry	портал
gaol	тюрьма
gaols	тюрьмы
gap	окно
gaps	окна
garage	гараж
garages	гаражи
garbage	мусор
garden	сад
garden-city	город-сад
gardener	садовник
gardeners	садовники
gardens	сады
garland	венок
garlands	венки
garlic	чеснок
garments	одежда
garmentses	одежды
garret	чердак
garrets	чердаки
garrison	гарнизон
garrisons	гарнизоны
gas	газ
gases	газы
gasket	прокладка
gaskets	прокладки
gasoline	бензин
gastric	желудочный
gate	ворота
gates	ворота
gathering	сход
gatherings	сходы
gaudy	яркий
gauge	калибр
gauges	калибры
gauze	газ
gauzes	газы
gay	голубой
gays	голубые
gaze	взгляд
gazebo	беседка
gazebos	беседки
gazelle	газель
gazelles	газели
gazes	взгляды
gazette	ведомость
gazettes	ведомости
gear	передача
gears	передачи
gee-gee	лошадка
geese	гуси
gel	гель
gels	гели
gem	драгоценность
gemini	Близнецы
geminis	Близнецы
gemma	почка
gemmas	почки
gems	драгоценности
gender	род
genders	роды
gene	ген
genealogy	родословная
genera	роды
general	общий
generalization	обобщение
generalizations	обобщения
generally	вообще
generals	генералы
generation	род
generations	роды
generator	генератор
generators	генераторы
generic	родовой
generosities	великодушия
generosity	щедрость
generous	щедрый
generously	щедро
genes	гены
geneses	генезисы
genesis	генезис
genetic	генетический
genius	гений
geniuses	гении
genocide	геноцид
genocides	геноциды
genre	жанр
genre-painting	жанр
genres	жанры
gentle	мягкий
gentleman	господин
gentlemen	господа
gentleness	мягкость
gentlenesses	мягкости
gently	тихо
gentries	дворянства
gentry	дворянство
genuine	настоящий
genus	род
geographer	географ
geographers	географы
geographic	географический
geographies	географии
geography	география
geological	геологический
geologies	геологии
geologist	геолог
geologists	геологи
geology	геология
geometric	геометрический
geometries	геометрии
geometry	геометрия
georgia	Грузия
georgian	грузинский
georgians	грузины
german	немецкий
germanic	германский
germans	немцы
germany	Германия
gestapo	гестапо
gesture	жест
gestures	жесты
get-together	посиделки
ghetto	гетто
ghost	приведение
ghostly	призрачный
ghosts	приведения
giant	гигант
giants	гиганты
gibberish	бред
gift	дар
gifts	дары
gigantic	гигантский
gin	джин
ginger	рыжий
gingerly	осторожно
gins	джины
gipsies	цыгане
gipsy	цыган
girder	ферма
girders	фермы
girdle	пояс
girdles	пояса
girl	девушка
girl-friend	возлюбленная
girlfriend	подружка
girlfriends	подружки
girlie	девочка
girlies	девочки
girls	девушки
girlses	воспитанники
gist	суть
gists	сути
glacial	ледниковый
glacier	ледник
glaciers	ледники
glad	рад
glade	поляна
glades	поляны
gladly	охотно
glads	рады
glamour	колдовство
glamours	*колдовства
gland	железа
glands	железы
glare	взгляд
glares	взгляды
glass	стакан
glasses	очки
glasseses	очки
glassware	стекло
glasswares	стёкла
global	глобальный
globe	глобус
globes	глобусы
gloom	мрак
glooms	мраки
gloomy	мрачный
glories	славы
glorious	славный
glory	слава
glossaries	словари
glossary	словарь
glove	перчатка
gloves	перчатки
glucose	глюкоза
glucoses	глюкозы
glue	клей
glues	клеи
gnome	гном
gnomes	гномы
go-between	посредник
goal	цель
goal-scorer	бомбардир
goalkeeper	вратарь
goalkeepers	вратари
goals	цели
goat	коза
goats	козы
goblet	кубок
goblets	кубки
god	бог
god's	божий
god-forsaken	глухой
goddess	богиня
goddesses	богини
gods	боги
godsend	находка
godsends	находки
gold	золото
golden	золотой
golden-eye	гоголь
golf	гольф
good	хорошо
goodness	доброта
goods	*добра
goodses	товары
goose	гусь
gore	клин
gores	клинья
gorgeous	великолепный
gospel	евангелие
gospels	евангелия
gossip	сплетня
gossips	сплетни
gourd	тыква
gourds	тыквы
governess	мадам
government	правительство
governmental	правительственный
governments	правительства
governor	губернатор
governor-general	генерал-губернатор
governors	губернаторы
gown	платье
gowns	платья
grace	милость
graceful	изящный
graces	милости
gracious	милостивый
grade	оценка
grades	оценки
gradient	уклон
gradients	уклоны
gradual	постепенный
gradually	постепенно
graduate	выпускник
