# Словарь ChatTranslator. Данные: OpenRussian.org (https://en.openrussian.org),
# https://github.com/Badestrand/russian-dictionary — лицензия CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Изменения: отобраны частые
# слова (по wordfreq), оставлен один перевод, убраны ударения и неоднозначные
# формы, для игровых слов выбрано игровое значение. Этот файл распространяется
# на тех же условиях CC BY-SA 4.0. Собран скриптом tools/build_dictionary.py.
(абсолютною)	absolute
пороховое	powder
пороховой	powder
пороховом	powder
пороховому	powder
пороховую	powder
пороховые	powder
пороховым	powder
пороховыми	powder
пороховых	powder
порохом	powder
пороху	powder
порошка	powder
порошкам	powders
порошками	powders
порошках	powders
порошке	powder
порошки	powders
порошков	powders
порошком	powder
порошку	powder
порошок	powder
порт	port
порта	port
портал	portal
портала	portal
порталам	portals
порталами	portals
порталах	portals
портале	portal
порталов	portals
порталом	portal
порталу	portal
порталы	portals
портам	ports
портами	ports
портах	ports
портер	portico
портера	portico
портере	portico
портером	portico
портеру	portico
порти	spoil
портись	deteriorate
портите	spoil
портитесь	deteriorate
портить	spoil
портиться	deteriorate
портного	tailor
портной	tailor
портном	tailor
портному	tailor
портные	tailors
портным	tailor
портными	tailors
портных	tailors
портов	ports
портова	port
портовая	port
портово	port
портового	port
портовое	port
портовой	port
портовом	port
портовому	port
портовою	port
портовую	port
портовы	port
портовые	port
портовый	port
портовым	port
портовыми	port
портовых	port
портом	port
портрет	portrait
портрета	portrait
портретам	portraits
портретами	portraits
портретах	portraits
портрете	portrait
портретов	portraits
портретом	portrait
портрету	portrait
портреты	portraits
порту	port
португалец	Portuguese
португалией	Portugal
португалиею	Portugal
португалии	Portugal
португалию	Portugal
португалия	Portugal
португальская	Portuguese
португальские	Portuguese
португальский	Portuguese
португальским	Portuguese
португальскими	Portuguese
португальских	Portuguese
португальского	Portuguese
португальское	Portuguese
португальской	Portuguese
португальском	Portuguese
португальскому	Portuguese
португальскую	Portuguese
португальца	Portuguese
португальцам	Portugueses
португальцами	Portugueses
португальцах	Portugueses
португальце	Portuguese
португальцев	Portugueses
португальцем	Portuguese
португальцу	Portuguese
португальцы	Portugueses
портфеле	briefcase
портфелей	briefcases
портфелем	briefcase
портфели	briefcases
портфель	briefcase
портфелю	briefcase
портфеля	briefcase
портфелям	briefcases
портфелями	briefcases
портфелях	briefcases
поругайся	quarrel
поругайтесь	quarrel
поругаться	quarrel
поручение	commission
поручением	commission
поручении	commission
поручений	commissions
поручению	commission
поручения	commission
поручениям	commissions
поручениями	commissions
поручениях	commissions
поручи	charge
поручик	lieutenant
поручика	lieutenant
поручикам	lieutenants
поручиками	lieutenants
поручиках	lieutenants
поручике	lieutenant
поручики	lieutenants
поручиков	lieutenants
поручиком	lieutenant
поручику	lieutenant
поручите	charge
поручить	charge
порцией	portion
порции	portion
порций	portions
порцию	portion
порция	portion
порциям	portions
порциями	portions
порциях	portions
порч	spoilings
порча	spoiling
порчам	spoilings
порчами	spoilings
порчах	spoilings
порче	spoiling
порчей	spoiling
порчею	spoiling
порчи	spoiling
поршень	piston
поршне	piston
поршней	pistons
поршнем	piston
поршни	pistons
поршню	piston
поршня	piston
поршням	pistons
поршнями	pistons
поршнях	pistons
порыв	impulse
порыва	impulse
порывам	impulses
порывами	impulses
порывах	impulses
порыве	impulse
порывов	impulses
порывом	impulse
порыву	impulse
порывы	impulses
порядка	in order
порядкам	in order
порядками	in order
порядках	in order
порядке	in order
порядки	in order
порядков	in order
порядком	in order
порядку	in order
порядок	in order
порядочен	decent
порядочна	decent
порядочная	decent
порядочного	decent
порядочное	decent
порядочной	decent
порядочном	decent
порядочному	decent
порядочности	decency
порядочность	decency
порядочностью	decency
порядочною	decent
порядочную	decent
порядочны	decent
порядочные	decent
порядочный	decent
порядочным	decent
порядочными	decent
порядочных	decent
посад	trading quarter
посада	trading quarter
посадам	trading quarter
посадами	trading quarter
посадах	trading quarter
посаде	trading quarter
посади	plant
посадите	plant
посадить	plant
посадка	boarding
посадкам	boardings
посадками	boardings
посадках	boardings
посадке	boarding
посадки	boarding
посадкой	boarding
посадкою	boarding
посадку	boarding
посадов	trading quarter
посадок	boardings
посадом	trading quarter
посадочен	planting
посадочна	planting
посадочная	planting
посадочно	planting
посадочного	planting
посадочное	planting
посадочной	planting
посадочном	planting
посадочному	planting
посадочною	planting
посадочную	planting
посадочны	planting
посадочные	planting
посадочный	planting
посадочным	planting
посадочными	planting
посадочных	planting
посаду	trading quarter
посады	trading quarter
посвяти	devote
посвятите	devote
посвятить	devote
посвящай	devote
посвящайте	devote
посвящать	devote
посвящение	dedication
посвящением	dedication
посвящении	dedication
посвящений	dedications
посвящению	dedication
посвящения	dedication
посвящениям	dedications
посвящениями	dedications
посвящениях	dedications
посев	sowing
посева	sowing
посевам	sowings
посевами	sowings
посевах	sowings
посеве	sowing
посевного	sowing
посевное	sowing
посевной	sowing
посевном	sowing
посевному	sowing
посевную	sowing
посевные	sowing
посевным	sowing
посевными	sowing
посевных	sowing
посевов	sowings
посевом	sowing
посеву	sowing
посевы	sowings
посей	sow
посейте	sow
поселенец	settler
поселение	settling
поселением	settling
поселении	settling
поселений	settlings
поселению	settling
поселения	settling
поселениям	settlings
поселениями	settlings
поселениях	settlings
поселенца	settler
поселенцам	settlers
поселенцами	settlers
поселенцах	settlers
поселенце	settler
поселенцев	settlers
поселенцем	settler
поселенцу	settler
поселенцы	settlers
поселись	reside
поселитесь	reside
поселиться	reside
поселка	settlement
поселкам	settlements
поселками	settlements
поселках	settlements
поселке	settlement
поселки	settlements
поселков	settlements
поселком	settlement
поселку	settlement
поселок	settlement
посему	therefore
посередине	in the middle
посети	visit
посетите	visit
посетителе	visitor
посетителей	visitors
посетителем	visitor
посетители	visitors
посетитель	visitor
посетителю	visitor
посетителя	visitor
посетителям	visitors
посетителями	visitors
посетителях	visitors
посетить	visit
посещаемостей	attendances
посещаемости	attendance
посещаемость	attendance
посещаемостью	attendance
посещаемостям	attendances
посещаемостями	attendances
посещаемостях	attendances
посещай	visit
посещайте	visit
посещать	visit
посещение	visit
посещением	visit
посещении	visit
посещений	visits
посещению	visit
посещения	visit
посещениям	visits
посещениями	visits
посещениях	visits
посеять	sow
посиделкам	get-together
посиделками	get-together
посиделках	get-together
посиделки	get-together
посиделок	get-together
посидеть	sit
посиди	sit
посидите	sit
поскольку	since
поскорее	somewhat quicker
посла	ambassador
послам	ambassadors
послами	ambassadors
послан	messenger
послана	messenger
послание	message
посланием	message
послании	message
посланий	messages
посланию	message
послания	message
посланиям	messages
посланиями	messages
посланиях	messages
посланная	messenger
посланник	envoy
посланника	envoy
посланникам	envoys
посланниками	envoys
посланниках	envoys
посланнике	envoy
посланники	envoys
посланников	envoys
посланником	envoy
посланнику	envoy
посланного	messenger
посланное	messenger
посланной	messenger
посланном	messenger
посланному	messenger
посланную	messenger
посланные	messenger
посланный	messenger
посланным	messenger
посланными	messenger
посланных	messenger
послано	messenger
посланы	messenger
послать	send
послах	ambassadors
после	after
послевоенен	post-war
послевоенна	post-war
послевоенная	post-war
послевоенно	post-war
послевоенного	post-war
послевоенное	post-war
послевоенной	post-war
послевоенном	post-war
послевоенному	post-war
послевоенною	post-war
послевоенную	post-war
послевоенны	post-war
послевоенные	post-war
послевоенный	post-war
послевоенным	post-war
послевоенными	post-war
послевоенных	post-war
последнего	last
последнее	last
последней	last
последнем	last
последнему	last
последние	last
последний	last
последним	last
последними	last
последних	last
последнюю	last
последняя	last
последователе	follower
последователей	followers
последователем	follower
последователен	successive
последователи	followers
последователь	follower
последовательна	successive
последовательная	successive
последовательно	constantly
последовательного	successive
последовательное	successive
последовательной	successive
последовательном	successive
последовательному	successive
последовательностей	successions
последовательности	succession
последовательность	succession
последовательностью	succession
последовательностям	successions
последовательностями	successions
последовательностях	successions
последовательною	successive
последовательную	successive
последовательны	successive
последовательные	successive
последовательный	successive
последовательным	successive
последовательными	successive
последовательных	successive
последователю	follower
последователя	follower
последователям	followers
последователями	followers
последователях	followers
последовать	follow
последствие	consequence
последствием	consequence
последствии	consequence
последствий	consequences
последствию	consequence
последствия	consequence
последствиям	consequences
последствиями	consequences
последствиях	consequences
последуй	follow
последуйте	follow
последующая	following
последующего	following
последующее	following
последующей	following
последующем	following
последующему	following
последующие	following
последующий	following
последующим	following
последующими	following
последующих	following
последующую	following
послезавтра	the day after tomorrow
послов	ambassadors
пословиц	proverbs
пословица	proverb
пословицам	proverbs
пословицами	proverbs
пословицах	proverbs
пословице	proverb
пословицей	proverb
пословицею	proverb
пословицу	proverb
пословицы	proverb
послом	ambassador
послу	ambassador
послужи	serve
послужите	serve
послужить	serve
послушай	listen
послушайте	listen
послушание	obedience
послушанием	obedience
послушании	obedience
послушаний	obediences
послушанию	obedience
послушания	obedience
послушаниям	obediences
послушаниями	obediences
послушаниях	obediences
послушать	listen
послы	ambassadors
послышаться	be heard
послышься	be heard
послышьтесь	be heard
посмей	dare
посмейся	laugh
посмейте	dare
посмейтесь	laugh
посмертно	posthumously
посметь	dare
посмеяться	laugh
посмотреть	look
посмотри	look
посмотрите	look
пособие	grant
пособием	grant
пособии	grant
пособий	grants
пособию	grant
пособия	grant
пособиям	grants
пособиями	grants
пособиях	grants
пособник	accomplice
пособника	accomplice
пособникам	accomplices
пособниками	accomplices
пособниках	accomplices
пособнике	accomplice
пособники	accomplices
пособников	accomplices
пособником	accomplice
пособнику	accomplice
посоветовать	advise
посоветуй	advise
посоветуйте	advise
посол	ambassador
посоли	salt
посолите	salt
посолить	salt
посольств	embassies
посольства	embassy
посольствам	embassies
посольствами	embassies
посольствах	embassies
посольстве	embassy
посольство	embassy
посольством	embassy
посольству	embassy
поспать	have a nap
поспеши	hurry
поспешите	hurry
поспешить	hurry
поспешно	in a hurry
поспи	have a nap
поспите	have a nap
поспорить	argue
поспорь	argue
поспорьте	argue
посреди	in the middle
посредине	middle
посредник	mediator
посредника	mediator
посредникам	mediators
посредниками	mediators
посредниках	mediators
посреднике	mediator
посредники	mediators
посредников	mediators
посредником	mediator
посреднику	mediator
посредничеств	mediations
посредничества	mediation
посредничествам	mediations
посредничествами	mediations
посредничествах	mediations
посредничестве	mediation
посредничество	mediation
посредничеством	mediation
посредничеству	mediation
посредством	by means of
поссориться	argue
поссорься	argue
поссорьтесь	argue
пост	post
поста	post
поставить	put
поставка	delivery
поставкам	deliveries
поставками	deliveries
поставках	deliveries
поставке	delivery
поставки	delivery
поставкой	delivery
поставкою	delivery
поставку	delivery
поставленная	posed
поставленного	posed
поставленной	posed
поставленнойпоставленною	posed
поставленном	posed
поставленному	posed
поставленную	posed
поставленные	posed
поставленный	posed
поставленныйпоставленного	posed
поставленным	posed
поставленными	posed
поставленных	posed
поставленныхпоставленные	posed
поставляй	supply
поставляйте	supply
поставлять	supply
поставок	deliveries
поставщик	supplier
поставщика	supplier
поставщикам	suppliers
поставщиками	suppliers
поставщиках	suppliers
поставщике	supplier
поставщики	suppliers
поставщиков	suppliers
поставщиком	supplier
поставщику	supplier
поставь	put
поставьте	put
постам	posts
постами	posts
постанови	decree
постановите	decree
постановить	decree
постановка	erection
постановкам	erections
постановками	erections
постановках	erections
постановке	erection
постановки	erection
постановкой	erection
постановкою	erection
постановку	erection
постановление	decision
постановлением	decision
постановлении	decision
постановлений	decisions
постановлению	decision
постановления	decision
постановлениям	decisions
постановлениями	decisions
постановлениях	decisions
постановок	erections
постановщик	producer
постановщика	producer
постановщикам	producers
постановщиками	producers
постановщиках	producers
постановщике	producer
постановщики	producers
постановщиков	producers
постановщиком	producer
постановщику	producer
постараться	try
постах	posts
посте	post
постелей	beds
постелен	bed
постели	bed
постель	bed
постельна	bed
постельная	bed
постельно	bed
постельного	bed
постельное	bed
постельной	bed
постельном	bed
постельному	bed
постельною	bed
постельную	bed
постельны	bed
постельные	bed
постельный	bed
постельным	bed
постельными	bed
постельных	bed
постелью	bed
постелям	beds
постелями	beds
постелях	beds
постепенен	gradual
постепенна	gradual
постепенная	gradual
постепенно	gradually
постепенного	gradual
постепенное	gradual
постепенной	gradual
постепенном	gradual
постепенному	gradual
постепенную	gradual
постепенны	gradual
постепенные	gradual
постепенный	gradual
постепенным	gradual
постепенными	gradual
постепенных	gradual
постигни	understand
постигните	understand
постигнуть	understand
постирай	wash
постирайте	wash
постирать	wash
постичь	understand
постов	posts
постой	stand
постойте	stand
постом	post
посторонне	strange
постороннего	strange
постороннее	strange
посторонней	strange
постороннем	strange
постороннему	strange
постороннею	strange
посторонни	strange
посторонние	strange
посторонний	strange
посторонним	strange
посторонними	strange
посторонних	strange
постороннюю	strange
постороння	strange
посторонняя	strange
постоялец	lodger
постоялеца	lodger
постояльца	lodger
постояльцам	lodgers
постояльцами	lodgers
постояльцах	lodgers
постояльце	lodger
постояльцев	lodgers
постояльцем	lodger
постояльцу	lodger
постояльцы	lodgers
постоянен	constant
постоянна	constant
постоянная	constant
постоянно	constantly
постоянного	constant
постоянное	constant
постоянной	constant
постоянном	constant
постоянному	constant
постоянную	constant
постоянны	constant
постоянные	constant
постоянный	constant
постоянным	constant
постоянными	constant
постоянных	constant
постоянства	constancy
постоянстве	constancy
постоянство	constancy
постоянством	constancy
постоянству	constancy
постоять	stand
пострадавшего	injured
пострадавшем	injured
пострадавшему	injured
пострадавшие	injureds
пострадавший	injured
пострадавшим	injured
пострадавшими	injureds
пострадавших	injureds
пострадай	be injured
пострадайте	be injured
пострадать	be injured
построек	buildings
построение	construction
построением	construction
построении	construction
построений	constructions
построению	construction
построения	construction
построениям	constructions
построениями	constructions
построениях	constructions
построить	build
построй	build
постройка	building
постройкам	buildings
постройками	buildings
постройках	buildings
постройке	building
постройки	building
постройкой	building
постройкою	building
постройку	building
постройте	build
посту	post
поступай	act
поступайте	act
поступать	act
поступи	enter
поступите	enter
поступить	enter
поступка	action
поступкам	actions
поступками	actions
поступках	actions
поступке	action
поступки	actions
поступков	actions
поступком	action
поступку	action
поступление	entrance
поступлением	entrance
поступлении	entrance
поступлений	entrances
поступлению	entrance
поступления	entrance
поступлениям	entrances
поступлениями	entrances
поступлениях	entrances
поступок	action
постучать	knock
постучи	knock
постучите	knock
посты	posts
посуда	tableware
посуде	tableware
посудой	tableware
посудою	tableware
посуду	tableware
посуды	tableware
посчитай	count
посчитайте	count
посчитать	count
посылай	send
посылайте	send
посылать	send
посылка	sending
посылкам	sendings
посылками	sendings
посылках	sendings
посылке	sending
посылки	sending
посылкой	sending
посылкою	sending
посылку	sending
посылок	sendings
посягательств	encroachments
посягательства	encroachment
посягательствам	encroachments
посягательствами	encroachments
посягательствах	encroachments
посягательстве	encroachment
посягательство	encroachment
посягательством	encroachment
посягательству	encroachment
пот	sweat
пота	sweat
потам	sweats
потами	sweats
потанцевать	have a dance
потанцуй	have a dance
потанцуйте	have a dance
потах	sweats
поте	sweat
потеки	begin to flow
потеките	begin to flow
потенциал	potential
потенциала	potential
потенциалам	potentials
потенциалами	potentials
потенциалах	potentials
потенциале	potential
потенциален	potential
потенциалов	potentials
потенциалом	potential
потенциалу	potential
потенциалы	potentials
потенциальна	potential
потенциальная	potential
потенциального	potential
потенциальное	potential
потенциальной	potential
потенциальном	potential
потенциальному	potential
потенциальною	potential
потенциальную	potential
потенциальны	potential
потенциальные	potential
потенциальный	potential
потенциальным	potential
потенциальными	potential
потенциальных	potential
потеплей	get warm
потеплейте	get warm
потепление	rise in temperature
потеплением	rise in temperature
потеплении	rise in temperature
потеплений	rise in temperature
потеплению	rise in temperature
потепления	rise in temperature
потеплениям	rise in temperature
потеплениями	rise in temperature
потеплениях	rise in temperature
потеплеть	get warm
потере	loss
потерей	loss
потереть	rub
потерею	loss
потерпевший	injured
потерпеть	suffer
потерпи	suffer
потерпите	suffer
потерь	losses
потерю	loss
потеря	loss
потеряй	lose
потеряйся	get lost
потеряйте	lose
потеряйтесь	get lost
потерям	losses
потерями	losses
потерянен	lost
потерянна	lost
потерянная	lost
потерянно	lost
потерянного	lost
потерянное	lost
потерянной	lost
потерянном	lost
потерянному	lost
потерянною	lost
потерянную	lost
потерянны	lost
потерянные	lost
потерянный	lost
потерянным	lost
потерянными	lost
потерянных	lost
потерять	lose
потеряться	get lost
потерях	losses
потечь	begin to flow
потихоньку	slowly
потов	sweats
поток	stream
потока	stream
потокам	streams
потоками	streams
потоках	streams
потоке	stream
потоки	streams
потоков	streams
потоком	stream
потоку	stream
потолка	ceiling
потолкам	ceilings
потолками	ceilings
потолках	ceilings
потолке	ceiling
потолки	ceilings
потолков	ceilings
потолком	ceiling
потолку	ceiling
потолок	ceiling
потом	afterwards
потомка	descendant
потомкам	descendants
потомками	descendants
потомках	descendants
потомке	descendant
потомки	descendants
потомков	descendants
потомком	descendant
потомку	descendant
потомок	descendant
потомств	posterities
потомства	posterity
потомствам	posterities
потомствами	posterities
потомствах	posterities
потомстве	posterity
потомство	posterity
потомством	posterity
потомству	posterity
потому	because
потоп	flood
потопа	flood
потопам	floods
потопами	floods
потопах	floods
потопе	flood
потопов	floods
потопом	flood
потопу	flood
потопы	floods
поторопись	hurry up
поторопитесь	hurry up
поторопиться	hurry up
потратить	spend
потрать	spend
потратьте	spend
потребителе	consumer
потребителей	consumers
потребителем	consumer
потребители	consumers
потребитель	consumer
потребителю	consumer
потребителя	consumer
потребителям	consumers
потребителями	consumers
потребителях	consumers
потребление	consumption
потреблением	consumption
потреблении	consumption
потреблений	consumptions
потреблению	consumption
потребления	consumption
потреблениям	consumptions
потреблениями	consumptions
потреблениях	consumptions
потребляй	consume
потребляйте	consume
потреблять	consume
потребностей	wants
потребности	want
потребность	want
потребностью	want
потребностям	wants
потребностями	wants
потребностях	wants
потребовать	demand
потребоваться	need
потребуй	demand
потребуйся	need
потребуйте	demand
потребуйтесь	need
потри	rub
потрите	rub
потрогай	touch
потрогайте	touch
потрогать	touch
потрудись	take some pains
потрудитесь	take some pains
потрудиться	take some pains
потрясающ	staggering
потрясающа	staggering
потрясающая	staggering
потрясающего	staggering
потрясающее	staggering
потрясающей	staggering
потрясающем	staggering
потрясающему	staggering
потрясающи	staggering
потрясающие	staggering
потрясающий	staggering
потрясающим	staggering
потрясающими	staggering
потрясающих	staggering
потрясающую	staggering
потрясен	awesome
потрясение	shock
потрясением	shock
потрясении	shock
потрясений	shocks
потрясению	shock
потрясения	shock
потрясениям	shocks
потрясениями	shocks
потрясениях	shocks
потряси	astonish
потрясите	astonish
потрясна	awesome
потрясная	awesome
потрясно	awesome
потрясного	awesome
потрясное	awesome
потрясной	awesome
потрясном	awesome
потрясному	awesome
потрясную	awesome
потрясны	awesome
потрясные	awesome
потрясный	awesome
потрясным	awesome
потрясными	awesome
потрясных	awesome
потрясти	astonish
поту	sweat
потуши	extinguish
потушите	extinguish
потушить	extinguish
поты	sweats
потяни	pull
потянись	reached
потяните	pull
потянитесь	reached
потянуть	pull
потянуться	reached
поучаствовать	participate
поучаствуй	participate
поучаствуйте	participate
поучись	study for awhile
поучитесь	study for awhile
поучиться	study for awhile
похвал	praises
похвала	praise
похвалам	praises
похвалами	praises
похвалах	praises
похвале	praise
похвали	compliment
похвалите	compliment
похвалить	compliment
похвалой	praise
похвалою	praise
похвалу	praise
похвалы	praise
похвастайся	show off
похвастайтесь	show off
похвастаться	show off
похитителе	thief
похитителей	thieves
похитителем	thief
похитители	thieves
похититель	thief
похитителю	thief
похитителя	thief
похитителям	thieves
похитителями	thieves
похитителях	thieves
похитить	steal
похить	steal
похитьте	steal
похищай	steal
похищайте	steal
похищать	steal
похищение	theft
похищением	theft
похищении	theft
похищений	thefts
похищению	theft
похищения	theft
похищениям	thefts
похищениями	thefts
похищениях	thefts
похмелий	hangovers
похмелье	hangover
похмельем	hangover
похмелью	hangover
похмелья	hangover
похмельям	hangovers
похмельями	hangovers
похмельях	hangovers
поход	march
похода	march
походам	marches
походами	marches
походах	marches
походе	march
походи	resemble
походите	resemble
походить	resemble
походка	gait
походкам	gaits
походками	gaits
походках	gaits
походке	gait
походки	gait
походкой	gait
походкою	gait
походку	gait
походов	marches
походок	gaits
походом	march
походу	march
походы	marches
похож	similar
похожа	similar
похожая	similar
похождение	adventure
похождением	adventure
похождении	adventure
похождений	adventures
похождению	adventure
похождения	adventure
похождениям	adventures
похождениями	adventures
похождениях	adventures
похоже	probably
похожего	similar
похожее	similar
похожей	similar
похожем	similar
похожему	similar
похожи	similar
похожие	similar
похожий	similar
похожим	similar
похожими	similar
похожих	similar
похожую	similar
похолодание	fall of temperature
похолоданием	fall of temperature
похолодании	fall of temperature
похолоданий	fall of temperature
похолоданию	fall of temperature
похолодания	fall of temperature
похолоданиям	fall of temperature
похолоданиями	fall of temperature
похолоданиях	fall of temperature
похорон	burials
похоронам	burials
похоронами	burials
похоронах	burials
похоронен	funeral
похорони	bury
похороните	bury
похоронить	bury
похоронна	funeral
похоронная	funeral
похоронно	funeral
похоронного	funeral
похоронное	funeral
похоронной	funeral
похоронном	funeral
похоронному	funeral
похоронною	funeral
похоронную	funeral
похоронны	funeral
похоронные	funeral
похоронный	funeral
похоронным	funeral
похоронными	funeral
похоронных	funeral
похороны	burial
похоти	lust
похоть	lust
похотью	lust
похудей	lose weight
похудейте	lose weight
похудение	weight loss
похудением	weight loss
похудении	weight loss
похудений	weight loss
похудению	weight loss
похудения	weight loss
похудениям	weight loss
похудениями	weight loss
похудениях	weight loss
похудеть	lose weight
поцеловать	kiss
поцелуе	kiss
поцелуев	kisses
поцелуи	kisses
поцелуй	kiss
поцелуйте	kiss
поцелуя	kiss
поцелуям	kisses
поцелуями	kisses
поцелуях	kisses
почв	soils
почва	soil
почвам	soils
почвами	soils
почвах	soils
почве	soil
почвой	soil
почвою	soil
почву	soil
почвы	soil
почек	buds
почему	why
почему-либо	for some reason of other
почему-нибудь	for some reason of other
почему-то	for some reason
почерк	handwriting
почерка	handwriting
почеркам	handwritings
почерками	handwritings
почерках	handwritings
почерке	handwriting
почерки	handwritings
почерков	handwritings
почерком	handwriting
почерку	handwriting
почет	honour
почета	honour
почетам	honours
почетами	honours
почетах	honours
почете	honour
почетен	honourable
почетна	honourable
почетная	honourable
почетнее	more honourable
почетно	honourable
почетного	honourable
почетное	honourable
почетной	honourable
почетном	honourable
почетному	honourable
почетною	honourable
почетную	honourable
почетны	honourable
почетные	honourable
почетный	honourable
почетным	honourable
почетными	honourable
почетных	honourable
почетов	honours
почетом	honour
почету	honour
почеты	honours
почечен	nephritic
почечна	nephritic
почечная	nephritic
почечно	nephritic
почечного	nephritic
почечное	nephritic
почечной	nephritic
почечном	nephritic
почечному	nephritic
почечною	nephritic
почечную	nephritic
почечны	nephritic
почечные	nephritic
почечный	nephritic
почечным	nephritic
почечными	nephritic
почечных	nephritic
почини	repair
почините	repair
починить	repair
почисти	clean
почистите	clean
почистить	clean
почитайте	read
почитателе	admirer
почитателей	admirers
почитателем	admirer
почитатели	admirers
почитатель	admirer
почитателю	admirer
почитателя	admirer
почитателям	admirers
почитателями	admirers
почитателях	admirers
почитать	read
почка	bud
почкам	buds
почками	buds
почках	buds
почке	bud
почки	bud
почкой	bud
почкою	bud
почку	bud
почт	posts
почта	post
почтальон	postman
почтальона	postman
почтальонам	postmen
почтальонами	postmen
почтальонах	postmen
почтальоне	postman
почтальонов	postmen
почтальоном	postman
почтальону	postman
почтальоны	postmen
почтам	posts
почтами	posts
почтах	posts
почте	post
почтенен	honourable
почтение	respect
почтением	respect
почтении	respect
почтению	respect
почтения	respect
почтенна	honourable
почтенная	honourable
почтенно	honourable
почтенного	honourable
почтенное	honourable
почтенной	honourable
почтенном	honourable
почтенному	honourable
почтенную	honourable
почтенны	honourable
почтенные	honourable
почтенный	honourable
почтенным	honourable
почтенными	honourable
почтенных	honourable
почти	almost
почтить	honour
почтовая	post
почтового	post
почтовое	post
почтовой	post
почтовом	post
почтовому	post
почтовую	post
почтовые	post
почтовый	post
почтовым	post
почтовыми	post
почтовых	post
почтой	post
почтою	post
почты	post
почтят//почти	honour
почтят//почтите	honour
почувствовать	feel
почувствуй	feel
почувствуйте	feel
пошлин	duties
пошлина	duty
пошлинам	duties
пошлинами	duties
пошлинах	duties
пошлине	duty
пошлиной	duty
пошлиною	duty
пошлину	duty
пошлины	duty
пошлите	send
пошлостей	commonplaces
пошлости	commonplace
пошлость	commonplace
пошлостью	commonplace
пошлостям	commonplaces
пошлостями	commonplaces
пошлостях	commonplaces
пошути	joke
пошутите	joke
пошутить	joke
пощад	mercies
пощада	mercy
пощадам	mercies
пощадами	mercies
пощадах	mercies
пощаде	mercy
пощадой	mercy
пощадою	mercy
пощаду	mercy
пощады	mercy
пощечин	box on the ear
пощечина	box on the ear
пощечинам	box on the ear
пощечинами	box on the ear
пощечинах	box on the ear
пощечине	box on the ear
пощечиной	box on the ear
пощечиною	box on the ear
пощечину	box on the ear
пощечины	box on the ear
поэзией	poetry
поэзиею	poetry
поэзии	poetry
поэзию	poetry
поэзия	poetry
поэм	poems
поэма	poem
поэмам	poems
поэмами	poems
поэмах	poems
поэме	poem
поэмой	poem
поэмою	poem
поэму	poem
поэмы	poem
поэт	poet
поэта	poet
поэтам	poets
поэтами	poets
поэтах	poets
поэте	poet
поэтесс	poetesses
поэтесса	poetess
поэтессам	poetesses
поэтессами	poetesses
поэтессах	poetesses
поэтессе	poetess
поэтессой	poetess
поэтессою	poetess
поэтессу	poetess
поэтессы	poetess
поэтик	poeticses
поэтика	poetics
поэтикам	poeticses
поэтиками	poeticses
поэтиках	poeticses
поэтике	poetics
поэтики	poetics
поэтикой	poetics
поэтикою	poetics
поэтику	poetics
поэтическая	poetic
поэтически	poetic
поэтические	poetic
поэтический	poetic
поэтическим	poetic
поэтическими	poetic
поэтических	poetic
поэтического	poetic
поэтическое	poetic
поэтической	poetic
поэтическом	poetic
поэтическому	poetic
поэтическою	poetic
поэтическую	poetic
поэтов	poets
поэтом	poet
поэтому	so
поэту	poet
поэты	poets
появись	appear
появитесь	appear
появиться	appear
появление	appearance
появлением	appearance
появлении	appearance
появлений	appearances
появлению	appearance
появления	appearance
появлениям	appearances
появлениями	appearances
появлениях	appearances
появляйся	appear
появляйтесь	appear
появляться	appear
пояс	belt
пояса	belt
поясам	belts
поясами	belts
поясах	belts
поясе	belt
пояснение	explanation
пояснением	explanation
пояснении	explanation
пояснений	explanations
пояснению	explanation
пояснения	explanation
пояснениям	explanations
пояснениями	explanations
пояснениях	explanations
поясни	elaborate
поясните	elaborate
пояснить	elaborate
поясняй	explain
поясняйте	explain
пояснять	explain
поясов	belts
поясом	belt
поясу	belt
права	right
правам	rights
правами	rights
правах	rights
правая	right
правд	truths
правда	truth
правда-матка	home truth
правдам	truths
правдами	truths
правдах	truths
правде	truth
правде-матке	home truth
правдив	truthful
правдива	truthful
правдивая	truthful
правдивого	truthful
правдивое	truthful
правдивой	truthful
правдивом	truthful
правдивому	truthful
правдивую	truthful
правдивы	truthful
правдивые	truthful
правдивый	truthful
правдивым	truthful
